ID,name,gender,restrictedZone,type,Lng,Lat
45325,Boronia K-12 College Mount View Campus,CoEd,FALSE,Combined,145.3010774,-37.85997636
45324,Mount Erin Secondary College,CoEd,FALSE,Secondary,145.147009,-38.174114
44261,Mount Eliza Primary School,CoEd,FALSE,Primary,145.091542,-38.195183
45312,Pakenham Consolidated School,CoEd,FALSE,Primary,145.465382,-38.066199
44257,Clifton Hill Primary School,CoEd,FALSE,Primary,144.989352,-37.792509
45557,Melbourne Girls College,Girls,FALSE,Secondary,145.0144337,-37.8228913
45555,Heathmont College,CoEd,FALSE,Secondary,145.2317901,-37.8376447
44055,Doncaster Primary School,CoEd,FALSE,Primary,145.1295735,-37.7867452
45554,Yarra Hills Secondary College Mount Evelyn Campus,CoEd,FALSE,Secondary,145.384343,-37.774127
44054,Dromana Primary School,CoEd,FALSE,Primary,144.9606425,-38.3385406
45553,Yarra Hills Secondary College Cambridge Campus,CoEd,FALSE,Secondary,145.3393788,-37.8014862
44057,Eltham Primary School,CoEd,FALSE,Primary,145.1497324,-37.7250048
44062,Footscray Primary School,CoEd,FALSE,Primary,144.893082,-37.798287
44061,Flemington Primary School,CoEd,FALSE,Primary,144.932778,-37.781268
45560,Templestowe College,CoEd,FALSE,Secondary,145.122246,-37.76673
40780,Coburg Senior High School,CoEd,FALSE,Secondary,144.9742098,-37.7395203
44060,Hallam Primary School,CoEd,FALSE,Primary,145.2580343,-38.0018403
45542,Mornington Secondary College,CoEd,FALSE,Secondary,145.0588093,-38.2182562
40786,Point Cook Senior Secondary College,CoEd,FALSE,Secondary,144.7337238,-37.8875777
44034,Warrandyte Primary School,CoEd,FALSE,Primary,145.213469,-37.742107
45543,Essendon East Keilor District College,CoEd,FALSE,Secondary,144.8566207,-37.7343192
45538,Bayside P-12 College,CoEd,FALSE,Combined,144.8813738,-37.8571449
45539,South Oakleigh Secondary College,CoEd,FALSE,Secondary,145.0899998,-37.9225486
45536,Copperfield College Sydenham Junior Campus,CoEd,FALSE,Secondary,144.760222,-37.7015798
45550,Viewbank College,CoEd,FALSE,Secondary,145.0858657,-37.741366
44042,Cheltenham Primary School,CoEd,FALSE,Primary,145.054726,-37.968502
45551,Noble Park Secondary College,CoEd,FALSE,Secondary,145.183697,-37.9704791
44040,Berwick Primary School,CoEd,FALSE,Primary,145.3539221,-38.0441706
45546,Glen Waverley Secondary College,CoEd,FALSE,Secondary,145.1637264,-37.8779715
45547,Monterey Secondary College,CoEd,FALSE,Secondary,145.1474941,-38.1260919
45544,Essendon East Keilor District College Niddrie Campus,CoEd,FALSE,Secondary,144.877125,-37.729357
44044,Newport Lakes Primary School,CoEd,FALSE,Primary,144.878386,-37.8373634
45545,Brunswick Secondary College,CoEd,FALSE,Secondary,144.9565208,-37.7714526
45524,Mill Park Secondary College,CoEd,FALSE,Secondary,145.0629671,-37.6638246
45527,Taylors Lakes Secondary College,CoEd,FALSE,Secondary,144.7940696,-37.706912
45526,The Grange P-12 College,CoEd,FALSE,Combined,144.6755556,-37.8591667
45521,Diamond Valley College,CoEd,FALSE,Secondary,145.167,-37.6727
44087,Fitzroy Primary School,CoEd,FALSE,Primary,144.9813804,-37.7994619
44086,Melton Primary School,CoEd,FALSE,Primary,144.585194,-37.682039
45522,Greensborough Secondary College,CoEd,FALSE,Secondary,145.089854,-37.70818
45533,Thornbury High School,CoEd,FALSE,Secondary,145.024803,-37.7563
45535,Copperfield College Kings Park Junior Campus,CoEd,FALSE,Secondary,144.8016402,-37.7435941
44090,Burwood East Primary School,CoEd,FALSE,Primary,145.151762,-37.858986
44093,Essendon Primary School,CoEd,FALSE,Primary,144.9210754,-37.7531092
45529,Sunshine College West Sunshine Campus,CoEd,FALSE,Secondary,144.814324,-37.793562
45528,Sunshine College,CoEd,FALSE,Secondary,144.828064,-37.79046
45531,Sunshine College North Sunshine Campus,CoEd,FALSE,Secondary,144.839558,-37.773652
44094,Coburg Primary School,CoEd,FALSE,Primary,144.968157,-37.74126
45530,Sunshine College Ardeer Campus,CoEd,FALSE,Secondary,144.7988921,-37.7776716
45508,Forest Hill College,CoEd,FALSE,Secondary,145.16202,-37.848385
45509,Patterson River Secondary College,CoEd,FALSE,Secondary,145.1355314,-38.0839732
44066,Sandringham Primary School,CoEd,FALSE,Primary,145.00891,-37.947582
45510,St Helena Secondary College,CoEd,FALSE,Secondary,145.1397129,-37.6870298
45504,Kurunjang Secondary College,CoEd,FALSE,Secondary,144.5851662,-37.6726184
44069,Hawthorn West Primary School,CoEd,FALSE,Primary,145.0169728,-37.8200188
44070,Heidelberg Primary School,CoEd,FALSE,Primary,145.0674711,-37.7545374
45506,Elisabeth Murdoch College,CoEd,FALSE,Secondary,145.1911497,-38.1591933
45507,Sunbury Downs Secondary College,CoEd,FALSE,Secondary,144.7052057,-37.5835456
45516,Sandringham College Sandringham Year 7-10 Campus,CoEd,FALSE,Secondary,145.0135139,-37.9533967
45517,Fitzroy High School,CoEd,FALSE,Secondary,144.987805,-37.785211
45518,Ashwood Secondary College,CoEd,FALSE,Secondary,145.103326,-37.863094
45519,Mullauna Secondary College,CoEd,FALSE,Secondary,145.190513,-37.80806
45512,Rowville Secondary College,CoEd,FALSE,Secondary,145.236909,-37.9238028
45513,Rowville Secondary College-Eastern Campus,CoEd,FALSE,Secondary,145.2640414,-37.920444
45515,Sandringham College Beaumaris Year 7-10 Campus,CoEd,FALSE,Secondary,145.0328017,-37.9809272
45491,Wheelers Hill Secondary College,CoEd,FALSE,Secondary,145.1813444,-37.9100944
44118,Werribee Primary School,CoEd,FALSE,Primary,144.65805,-37.907341
45490,Westall Secondary College,CoEd,FALSE,Secondary,145.136433,-37.940407
45488,Werribee Secondary College,CoEd,FALSE,Secondary,144.6690093,-37.9066059
45495,Glen Eira College,CoEd,FALSE,Secondary,145.037888,-37.885091
44113,Thomastown Primary School,CoEd,FALSE,Primary,145.0117454,-37.6818682
45492,Williamstown High School Bayview Campus,CoEd,FALSE,Secondary,144.88555,-37.864385
45499,Hampton Park Secondary College,CoEd,FALSE,Secondary,145.2593154,-38.0348945
45498,Reservoir High School,CoEd,FALSE,Secondary,145.0290126,-37.7224322
45496,Craigieburn Secondary College,CoEd,FALSE,Secondary,144.9356874,-37.6085658
45501,Keilor Downs Secondary College,CoEd,FALSE,Secondary,144.7906484,-37.7024727
45500,Hoppers Crossing Secondary College,CoEd,FALSE,Secondary,144.6962631,-37.870336
45475,University High School,CoEd,TRUE,Secondary,144.955199,-37.797082
45473,Thomastown Secondary College,CoEd,FALSE,Secondary,145.0023529,-37.67842
45478,Upwey High School,CoEd,FALSE,Secondary,145.3332244,-37.9040542
45479,Vermont Secondary College,CoEd,FALSE,Secondary,145.20095,-37.843486
44096,Mernda Primary School,CoEd,FALSE,Primary,145.0906103,-37.5952057
45476,Roxburgh College,CoEd,FALSE,Secondary,144.9297282,-37.6305344
45482,Carrum Downs Secondary College,CoEd,FALSE,Secondary,145.1984559,-38.0938566
44108,South Yarra Primary School,CoEd,TRUE,Primary,144.985462,-37.8407352
45480,Kambrya College,CoEd,FALSE,Secondary,145.346606,-38.05382
45486,Warrandyte High School,CoEd,FALSE,Secondary,145.1846472,-37.7473427
45487,Wellington Secondary College,CoEd,FALSE,Secondary,145.1692764,-37.9343129
45484,Wantirna College,CoEd,FALSE,Secondary,145.2308333,-37.8563889
45459,Ringwood Secondary College,CoEd,FALSE,Secondary,145.239151,-37.816666
45461,Rosebud Secondary College,CoEd,FALSE,Secondary,144.8890588,-38.3689018
44144,Preston South Primary School,CoEd,FALSE,Primary,145.0069843,-37.7492042
45463,Scoresby Secondary College,CoEd,FALSE,Secondary,145.2360566,-37.8889729
44147,Mordialloc Beach Primary School,CoEd,FALSE,Primary,145.1044805,-38.0005492
45466,St Albans Secondary College,CoEd,FALSE,Secondary,144.8076984,-37.7465889
44158,Lilydale Primary School,CoEd,FALSE,Primary,145.3476805,-37.755652
45469,Strathmore Secondary College,CoEd,FALSE,Secondary,144.9274054,-37.7374444
45470,Sunbury College,CoEd,FALSE,Secondary,144.7288807,-37.5740925
45442,Northcote High School,CoEd,FALSE,Secondary,144.9895587,-37.7741343
45443,Norwood Secondary College,CoEd,FALSE,Secondary,145.2378549,-37.7996795
44131,Clayton North Primary School,CoEd,FALSE,Primary,145.12256,-37.912242
45449,Pakenham Secondary College,CoEd,FALSE,Secondary,145.4693163,-38.0578366
45450,Parkdale Secondary College,CoEd,TRUE,Secondary,145.0947222,-37.9908333
45452,Pascoe Vale Girls Secondary College,Girls,FALSE,Secondary,144.9347222,-37.7180556
45453,Preston Girls Secondary College,Girls,FALSE,Secondary,145.0063455,-37.7415032
45454,Princes Hill Secondary College,CoEd,FALSE,Secondary,144.9649322,-37.7832229
